热汤,剧情/爱情,5.6,
山河小叙,剧情,6.2,
幸运电梯,剧情,5.4,
柳青,剧情/历史,6.6,
北京女子图鉴之助理女王,剧情,5.6,
永不消逝的电波(舞剧),历史/歌舞,9.4,
易烊千玺2019玊尔演唱会,音乐,9.2,
秋寒江南,剧情/动作,5.7,
她房间里的云,剧情,6,
雨天的妖怪,奇幻,5.7,
日光之下,剧情,6.4,
哈日夫,剧情,6.5,
千顷澄碧的时代,剧情,5.9,
妙先生,动画/奇幻,6.3,
角头外传：浪流连,剧情,6.1,
汉南夏日,剧情,6.9,
怒火·重案,动作/犯罪,7.2,
日子,剧情/同性,6.5,
奇花记,奇幻/古装,4.4,
父子变形记,家庭/儿童,5.6,
手卷烟,剧情,7.1,
海底小纵队：火焰之环,动画/奇幻,6.7,
雨打芭蕉,剧情/家庭,6.3,
最佳导演,剧情/喜剧,6.8,
应承,剧情,6.4,
腿,剧情/喜剧,6.3,
没有过不去的年,剧情/家庭,5.7,
浴血无名川,战争/历史,6.1,
野马分鬃,剧情,6.5,
石榴熟了之一拍到底,喜剧,5.4,
冰下的鱼,剧情,7.2,
故乡异客,剧情,6.6,
最后的告别,剧情,6.9,
西游记之再世妖王,动作/动画,5.3,
追龙番外篇之十亿探长,剧情/犯罪,4.1,
一呼百应,剧情,5.8,
天·火,动作/冒险,4.2,
我的灵魂是爱做的,剧情/爱情,5,
白云之下,剧情,6.4,
四平青年之三傻罪途,剧情/喜剧,6.4,
老大不小,剧情,6.6,
赘婿之吉兴高照,剧情/喜剧,5.9,
妈妈和七天的时间,剧情,6.9,
超越,剧情/喜剧,5,
解放·终局营救,剧情/战争,4.5,
狂舞派3,剧情/爱情,6.3,
北京女子图鉴之整容大师,剧情,4.9,
河豚,剧情,4.9,
俑之城,动画/奇幻,5.8,
星游记之风暴法米拉2,动画/奇幻,6.8,
奇袭地道战,剧情/战争,5.6,
硬汉枪神,剧情/动作,7.0,
一秒拳王,剧情,6.5,
孤味,剧情/家庭,8.1,
亲爱的新年好,剧情/爱情,5.5,
兴风作浪3,喜剧/爱情,5.2,
天堂的张望,剧情/家庭,6.8,
弓蕉园的秘密,剧情/同性,7.1,
明天会好的,喜剧/爱情,4.8,
西行纪之再见悟空,动作/动画,6.2,
夏夜骑士,剧情,6.4,
双鱼陨石,奇幻/冒险,6.7,
秀美人生,剧情/传记,7.1,
肥龙过江,喜剧/动作,4.7,
少女佳禾,剧情,5.4,
麦路人,剧情,6.5,
永不消逝的电波 高清放映,历史/歌舞,9.4,
守岛人,剧情,7.4,
再见吧！少年,剧情,6.6,
一百零八,剧情/爱情,5,
中国飞侠,剧情/喜剧,6,
特警队,动作,5,
奇门遁甲,剧情,5.3,
完美受害人,剧情/犯罪,4.9,
点点星光,剧情/运动,8.1,
同学麦娜丝,剧情/喜剧,7.9,
智齿,犯罪/悬疑,7.2,
吹哨人,剧情/犯罪,5.3,
叶问4：完结篇,剧情/动作,6.8,
长安道,剧情/犯罪,6.1,
侍神令,奇幻,5.3,
许愿神龙,喜剧/动画,6.5,
陈情令之乱魄,奇幻/古装,5.3,
1921,剧情/历史,6.7,
了不起的老爸,剧情/喜剧,6.5,
悬崖之上,剧情/动作,7.6,
热带往事,剧情/犯罪,6.2,
白蛇2：青蛇劫起,动画/奇幻,6.9,
伟大征程——庆祝中国共产党成立100周年文艺演出,歌舞,9.2,
你是凶手,剧情/犯罪,5.6,
无声,剧情,7.8,
追凶十九年,剧情/犯罪,5.5,
辛弃疾1162,动作/古装,6,
风平浪静,剧情/爱情,6.2,
只有芸知道,剧情/爱情,6.3,
陈情令国风演唱会,音乐,6.6,
第十一回,剧情/喜剧,7.2,
亲爱的房客,剧情/同性,7.5,
我在时间尽头等你,爱情/奇幻,5.3,
裂流,剧情/喜剧,6.2,
陈情令之生魂,奇幻/古装,4.7,
一秒钟,剧情,7.7,
被光抓走的人,剧情/爱情,6.9,
八佰,剧情/战争,7.5,
猎谎者,剧情/犯罪,6.9,
吉祥如意,剧情/家庭,7.7,
陈翔六点半之民间高手,喜剧/运动,6.1,
只是一次偶然的旅行,剧情,4.9,
金都,剧情,7.7,
